brygada,czas
015,05:02:00
013,05:32:00
1,06:02:00
3,06:18:00
4,06:33:00
5,06:46:00
6,07:01:00
014,07:15:00
7,07:25:00
8,07:35:00
015,07:45:00
9,07:55:00
013,08:05:00
432,08:15:00
11,08:31:00
12,08:48:00
1,09:03:00
2,09:18:00
3,09:33:00
4,09:48:00
5,10:03:00
6,10:18:00
7,10:33:00
8,10:48:00
9,11:03:00
432,11:18:00
11,11:33:00
12,11:48:00
1,12:03:00
2,12:18:00
3,12:33:00
4,12:48:00
5,13:03:00
6,13:18:00
7,13:33:00
8,13:48:00
9,14:03:00
432,14:18:00
11,14:33:00
12,14:47:00
1,15:02:00
2,15:17:00
3,15:32:00
4,15:47:00
5,16:02:00
6,16:17:00
7,16:32:00
8,16:47:00
9,17:02:00
432,17:17:00
013,17:32:00
11,17:47:00
12,18:02:00
1,18:17:00
2,18:32:00
3,18:48:00
4,19:03:00
5,19:18:00
6,19:33:00
7,19:48:00
8,20:03:00
9,20:23:00
11,20:43:00
12,21:03:00
1,21:22:00
3,21:42:00
4,22:02:00
6,22:22:00
7,22:42:00
8,23:02:00
12,23:32:00
1,24:02:00
