brygada,czas
07,04:50:00
3,05:10:00
4,05:25:00
5,05:40:00
1,05:55:00
07,06:10:00
3,06:35:00
4,06:45:00
5,06:55:00
09,07:05:00
6,07:13:00
1,07:20:00
07,07:27:00
08,07:35:00
371,07:45:00
3,07:55:00
4,08:05:00
5,08:15:00
09,08:25:00
6,08:35:00
1,08:45:00
08,08:57:00
371,09:10:00
3,09:25:00
4,09:40:00
5,09:55:00
6,10:10:00
1,10:25:00
371,10:40:00
3,10:55:00
4,11:10:00
5,11:25:00
6,11:40:00
1,11:55:00
371,12:10:00
3,12:25:00
4,12:40:00
5,12:55:00
6,13:10:00
1,13:25:00
371,13:40:00
3,13:55:00
4,14:10:00
5,14:25:00
6,14:35:00
1,14:45:00
371,14:55:00
07,15:05:00
3,15:15:00
08,15:25:00
4,15:35:00
5,15:45:00
09,15:55:00
6,16:05:00
1,16:15:00
371,16:25:00
07,16:35:00
3,16:45:00
08,16:55:00
4,17:05:00
5,17:15:00
09,17:25:00
6,17:35:00
1,17:45:00
371,17:57:00
07,18:10:00
3,18:25:00
4,18:40:00
5,18:55:00
6,19:10:00
371,19:25:00
07,19:40:00
3,19:55:00
4,20:10:00
6,20:25:00
371,20:40:00
258,20:55:00
3,21:10:00
4,21:25:00
6,21:40:00
371,22:00:00
258,22:20:00
6,22:50:00
