brygada,czas
2,04:42:00
3,05:02:00
2,05:22:00
3,05:42:00
2,06:02:00
3,06:18:00
04,06:29:00
2,06:39:00
3,06:49:00
1,06:59:00
04,07:12:00
2,07:23:00
3,07:33:00
1,07:43:00
04,07:53:00
2,08:03:00
3,08:13:00
1,08:23:00
04,08:33:00
2,08:43:00
3,08:53:00
1,09:03:00
04,09:11:00
2,09:19:00
3,09:29:00
1,09:39:00
2,09:54:00
3,10:09:00
1,10:24:00
2,10:39:00
3,10:54:00
1,11:09:00
2,11:24:00
3,11:39:00
1,11:54:00
2,12:09:00
3,12:24:00
1,12:39:00
2,12:54:00
3,13:09:00
1,13:24:00
2,13:39:00
3,13:54:00
1,14:09:00
2,14:22:00
3,14:32:00
04,14:42:00
1,14:52:00
2,15:02:00
3,15:16:00
04,15:26:00
1,15:36:00
2,15:46:00
3,15:56:00
04,16:06:00
1,16:16:00
2,16:26:00
3,16:36:00
04,16:46:00
1,16:56:00
2,17:06:00
3,17:16:00
04,17:26:00
1,17:36:00
2,17:46:00
3,17:56:00
1,18:13:00
2,18:28:00
3,18:43:00
1,18:58:00
2,19:10:00
3,19:24:00
1,19:39:00
2,19:54:00
3,20:09:00
1,20:22:00
3,20:42:00
1,21:02:00
3,21:22:00
1,21:42:00
3,22:02:00
1,22:22:00
3,22:42:00
1,23:02:00
3,23:22:00
1,23:42:00
