brygada,czas
5,04:23:00
6,04:43:00
8,05:03:00
10,05:21:00
1,05:41:00
2,06:01:00
013,06:13:00
3,06:21:00
4,06:27:00
014,06:34:00
5,06:41:00
6,06:54:00
7,06:59:00
8,07:06:00
9,07:16:00
015,07:24:00
10,07:32:00
11,07:40:00
016,07:48:00
12,07:56:00
1,08:04:00
2,08:12:00
013,08:20:00
3,08:28:00
4,08:36:00
014,08:44:00
5,08:52:00
6,09:00:00
7,09:07:00
8,09:17:00
9,09:29:00
10,09:41:00
11,09:53:00
12,10:05:00
1,10:17:00
2,10:29:00
3,10:41:00
4,10:53:00
5,11:05:00
6,11:17:00
7,11:29:00
8,11:41:00
9,11:53:00
10,12:05:00
11,12:17:00
12,12:29:00
1,12:41:00
2,12:53:00
3,13:05:00
4,13:17:00
5,13:29:00
6,13:41:00
7,13:53:00
8,14:06:00
9,14:18:00
10,14:30:00
11,14:42:00
12,14:54:00
1,15:06:00
2,15:16:00
3,15:24:00
013,15:32:00
4,15:40:00
5,15:48:00
014,15:56:00
6,16:04:00
7,16:12:00
8,16:20:00
9,16:28:00
10,16:36:00
015,16:44:00
11,16:52:00
12,17:00:00
016,17:08:00
1,17:16:00
2,17:24:00
3,17:32:00
013,17:40:00
4,17:48:00
5,17:56:00
014,18:04:00
6,18:11:00
7,18:19:00
8,18:29:00
9,18:41:00
015,18:53:00
11,19:05:00
016,19:17:00
1,19:29:00
2,19:41:00
013,19:53:00
4,20:05:00
014,20:16:00
6,20:28:00
7,20:41:00
9,21:01:00
015,21:21:00
016,21:41:00
2,22:01:00
4,22:21:00
6,22:41:00
7,23:01:00
9,23:23:00
015,23:43:00
