brygada,czas
2,04:37:00
3,04:57:00
2,05:17:00
3,05:37:00
2,05:57:00
3,06:13:00
04,06:24:00
2,06:34:00
3,06:44:00
1,06:54:00
04,07:06:00
2,07:17:00
3,07:27:00
1,07:37:00
04,07:47:00
2,07:57:00
3,08:07:00
1,08:17:00
04,08:27:00
2,08:37:00
3,08:47:00
1,08:57:00
04,09:06:00
2,09:14:00
3,09:24:00
1,09:34:00
2,09:49:00
3,10:04:00
1,10:19:00
2,10:34:00
3,10:49:00
1,11:04:00
2,11:19:00
3,11:34:00
1,11:49:00
2,12:04:00
3,12:19:00
1,12:34:00
2,12:49:00
3,13:04:00
1,13:19:00
2,13:34:00
3,13:49:00
1,14:04:00
2,14:17:00
3,14:27:00
04,14:37:00
1,14:47:00
2,14:57:00
3,15:10:00
04,15:20:00
1,15:30:00
2,15:40:00
3,15:50:00
04,16:00:00
1,16:10:00
2,16:20:00
3,16:30:00
04,16:40:00
1,16:50:00
2,17:00:00
3,17:10:00
04,17:20:00
1,17:30:00
2,17:40:00
3,17:50:00
1,18:07:00
2,18:22:00
3,18:37:00
1,18:52:00
2,19:05:00
3,19:19:00
1,19:34:00
2,19:49:00
3,20:04:00
1,20:17:00
3,20:37:00
1,20:57:00
3,21:17:00
1,21:37:00
3,21:57:00
1,22:17:00
3,22:37:00
1,22:57:00
3,23:17:00
1,23:37:00
