brygada,czas
2,04:36:00
3,04:56:00
2,05:16:00
3,05:36:00
2,05:56:00
3,06:12:00
04,06:23:00
2,06:33:00
3,06:43:00
1,06:53:00
04,07:04:00
2,07:15:00
3,07:25:00
1,07:35:00
04,07:45:00
2,07:55:00
3,08:05:00
1,08:15:00
04,08:25:00
2,08:35:00
3,08:45:00
1,08:55:00
04,09:05:00
2,09:13:00
3,09:23:00
1,09:33:00
2,09:48:00
3,10:03:00
1,10:18:00
2,10:33:00
3,10:48:00
1,11:03:00
2,11:18:00
3,11:33:00
1,11:48:00
2,12:03:00
3,12:18:00
1,12:33:00
2,12:48:00
3,13:03:00
1,13:18:00
2,13:33:00
3,13:48:00
1,14:03:00
2,14:16:00
3,14:26:00
04,14:36:00
1,14:46:00
2,14:56:00
3,15:08:00
04,15:18:00
1,15:28:00
2,15:38:00
3,15:48:00
04,15:58:00
1,16:08:00
2,16:18:00
3,16:28:00
04,16:38:00
1,16:48:00
2,16:58:00
3,17:08:00
04,17:18:00
1,17:28:00
2,17:38:00
3,17:48:00
1,18:05:00
2,18:20:00
3,18:35:00
1,18:50:00
2,19:04:00
3,19:18:00
1,19:33:00
2,19:48:00
3,20:03:00
1,20:16:00
3,20:36:00
1,20:56:00
3,21:16:00
1,21:36:00
3,21:56:00
1,22:16:00
3,22:36:00
1,22:56:00
3,23:16:00
1,23:36:00
