brygada,czas
1,05:40:00
02,06:00:00
1,06:15:00
02,06:30:00
1,06:45:00
02,07:00:00
1,07:15:00
02,07:30:00
1,07:45:00
02,08:00:00
1,08:15:00
02,08:30:00
1,08:45:00
02,09:00:00
1,09:30:00
02,10:00:00
1,10:30:00
1,11:00:00
1,11:30:00
1,12:00:00
1,12:30:00
1,13:00:00
1,13:30:00
1,14:00:00
02,14:15:00
1,14:30:00
02,14:45:00
1,15:00:00
02,15:15:00
1,15:30:00
02,15:45:00
1,16:00:00
02,16:15:00
1,16:30:00
02,16:45:00
1,17:00:00
02,17:15:00
1,17:30:00
02,17:45:00
1,18:00:00
02,18:15:00
1,18:30:00
02,18:45:00
1,19:00:00
02,19:30:00
1,20:00:00
02,20:30:00
1,21:00:00
1,21:30:00
1,22:00:00
1,22:30:00
1,23:00:00
1,23:30:00
