brygada,czas
3,05:04:00
012,05:24:00
6,05:44:00
7,05:57:00
8,06:09:00
014,06:21:00
10,06:33:00
1,06:46:00
2,06:58:00
3,07:09:00
012,07:17:00
4,07:25:00
5,07:33:00
013,07:41:00
6,07:49:00
7,07:57:00
8,08:05:00
9,08:13:00
014,08:21:00
10,08:29:00
11,08:37:00
1,08:47:00
2,08:59:00
3,09:11:00
4,09:22:00
5,09:34:00
013,09:40:00
6,09:46:00
7,09:58:00
8,10:10:00
9,10:22:00
10,10:34:00
11,10:46:00
1,10:58:00
2,11:10:00
3,11:22:00
4,11:34:00
5,11:46:00
6,11:58:00
7,12:10:00
8,12:22:00
9,12:34:00
10,12:46:00
11,12:58:00
1,13:10:00
2,13:22:00
3,13:34:00
4,13:46:00
5,13:58:00
6,14:10:00
7,14:22:00
8,14:35:00
9,14:45:00
10,14:53:00
014,15:01:00
11,15:09:00
015,15:17:00
1,15:25:00
2,15:33:00
016,15:41:00
3,15:49:00
4,15:57:00
5,16:05:00
6,16:13:00
013,16:21:00
7,16:29:00
8,16:37:00
9,16:45:00
10,16:53:00
014,17:01:00
11,17:09:00
015,17:17:00
1,17:25:00
2,17:33:00
016,17:41:00
3,17:49:00
4,17:57:00
5,18:05:00
6,18:13:00
013,18:22:00
7,18:28:00
8,18:34:00
9,18:46:00
10,18:52:00
014,18:58:00
11,19:10:00
015,19:22:00
2,19:34:00
016,19:46:00
3,19:58:00
5,20:09:00
6,20:24:00
013,20:34:00
8,20:44:00
9,20:54:00
014,21:04:00
11,21:14:00
015,21:24:00
016,21:44:00
3,22:04:00
6,22:24:00
8,22:45:00
014,23:05:00
