brygada,czas
1,05:28:00
02,05:48:00
1,06:03:00
02,06:18:00
1,06:33:00
02,06:48:00
1,07:03:00
02,07:18:00
1,07:33:00
02,07:48:00
1,08:03:00
02,08:18:00
1,08:33:00
02,08:48:00
1,09:18:00
02,09:48:00
1,10:18:00
1,10:48:00
1,11:18:00
1,11:48:00
1,12:18:00
1,12:48:00
1,13:18:00
1,13:48:00
1,14:11:00
02,14:26:00
1,14:41:00
02,14:56:00
1,15:11:00
02,15:26:00
1,15:41:00
02,15:56:00
1,16:11:00
02,16:26:00
1,16:41:00
02,16:56:00
1,17:11:00
02,17:26:00
1,17:41:00
02,17:56:00
1,18:11:00
02,18:26:00
1,18:41:00
02,18:56:00
1,19:11:00
02,19:41:00
1,20:11:00
02,20:41:00
1,21:11:00
1,21:41:00
1,22:11:00
1,22:41:00
1,23:11:00
