brygada,czas
1,05:11:00
2,05:21:00
019,05:31:00
020,05:41:00
021,05:51:00
026,06:01:00
022,06:11:00
023,06:21:00
11,06:30:00
12,06:41:00
13,06:51:00
14,07:01:00
15,07:06:00
025,07:12:00
1,07:25:00
2,07:33:00
3,07:41:00
4,07:49:00
5,07:57:00
6,08:05:00
7,08:13:00
8,08:23:00
9,08:35:00
10,08:47:00
11,08:53:00
12,09:05:00
13,09:17:00
14,09:25:00
15,09:36:00
025,09:48:00
1,09:56:00
2,10:06:00
3,10:16:00
4,10:25:00
5,10:35:00
6,10:45:00
7,10:55:00
8,11:05:00
9,11:15:00
10,11:25:00
11,11:35:00
12,11:45:00
13,11:55:00
14,12:05:00
15,12:15:00
1,12:25:00
2,12:35:00
3,12:45:00
4,12:55:00
5,13:05:00
6,13:15:00
7,13:25:00
8,13:35:00
9,13:45:00
10,13:55:00
11,14:05:00
12,14:15:00
13,14:26:00
14,14:36:00
15,14:46:00
1,14:56:00
2,15:07:00
3,15:17:00
4,15:29:00
5,15:38:00
6,15:46:00
7,15:54:00
8,16:02:00
023,16:10:00
9,16:18:00
10,16:26:00
11,16:34:00
12,16:42:00
024,16:50:00
13,16:58:00
14,17:06:00
15,17:14:00
020,17:22:00
1,17:30:00
2,17:40:00
3,17:50:00
021,18:00:00
4,18:09:00
5,18:19:00
6,18:29:00
7,18:39:00
8,18:49:00
9,18:59:00
10,19:09:00
11,19:17:00
12,19:25:00
13,19:35:00
14,19:45:00
15,19:55:00
1,20:05:00
2,20:15:00
3,20:25:00
4,20:35:00
5,20:45:00
6,20:55:00
7,21:05:00
8,21:14:00
9,21:22:00
10,21:33:00
12,21:47:00
14,22:02:00
15,22:16:00
3,22:31:00
4,22:46:00
6,23:01:00
7,23:16:00
10,23:46:00
