brygada,czas
06,04:49:00
4,05:04:00
07,05:19:00
5,05:35:00
1,05:49:00
06,06:05:00
469,06:20:00
07,06:35:00
3,06:53:00
08,07:07:00
4,07:23:00
06,07:38:00
5,07:53:00
07,08:08:00
1,08:23:00
08,08:38:00
469,08:53:00
06,09:08:00
3,09:23:00
4,09:53:00
5,10:22:00
1,10:52:00
469,11:22:00
3,11:52:00
4,12:22:00
5,12:52:00
1,13:22:00
469,13:52:00
3,14:22:00
08,14:35:00
4,14:52:00
06,15:05:00
5,15:22:00
07,15:39:00
1,15:52:00
08,16:09:00
469,16:22:00
06,16:39:00
3,16:52:00
07,17:09:00
4,17:22:00
08,17:39:00
5,17:52:00
06,18:09:00
1,18:22:00
07,18:38:00
469,18:52:00
3,19:22:00
4,19:52:00
5,20:22:00
1,20:52:00
469,21:20:00
3,21:49:00
4,22:19:00
5,22:49:00
469,23:29:00
