brygada,czas
5,05:09:00
8,05:39:00
012,05:59:00
9,06:10:00
10,06:20:00
1,06:32:00
2,06:45:00
3,06:57:00
4,07:09:00
5,07:19:00
011,07:29:00
6,07:40:00
7,07:50:00
8,08:01:00
012,08:13:00
9,08:25:00
10,08:37:00
013,08:49:00
1,09:01:00
2,09:13:00
3,09:25:00
4,09:36:00
5,09:49:00
011,10:04:00
6,10:19:00
7,10:34:00
8,10:48:00
9,11:00:00
10,11:15:00
1,11:30:00
2,11:45:00
3,12:00:00
4,12:15:00
5,12:30:00
6,12:45:00
7,13:00:00
8,13:15:00
9,13:30:00
10,13:45:00
1,14:00:00
2,14:15:00
012,14:30:00
3,14:45:00
4,15:00:00
5,15:15:00
6,15:31:00
7,15:48:00
8,16:03:00
9,16:18:00
10,16:33:00
1,16:48:00
2,17:03:00
012,17:18:00
3,17:33:00
4,17:48:00
5,18:03:00
6,18:18:00
7,18:33:00
8,18:47:00
9,19:02:00
10,19:17:00
1,19:31:00
2,19:44:00
012,19:59:00
3,20:14:00
4,20:29:00
5,20:44:00
6,20:59:00
7,21:13:00
8,21:27:00
206,21:44:00
1,22:04:00
208,22:24:00
205,22:44:00
3,23:09:00
6,23:39:00
