brygada,czas
2,04:27:00
3,04:47:00
2,05:07:00
3,05:27:00
2,05:47:00
3,06:03:00
04,06:14:00
2,06:24:00
3,06:34:00
1,06:44:00
04,06:55:00
2,07:05:00
3,07:15:00
1,07:25:00
04,07:35:00
2,07:45:00
3,07:55:00
1,08:05:00
04,08:15:00
2,08:25:00
3,08:35:00
1,08:45:00
04,08:55:00
2,09:04:00
3,09:14:00
1,09:24:00
2,09:39:00
3,09:54:00
1,10:09:00
2,10:24:00
3,10:39:00
1,10:54:00
2,11:09:00
3,11:24:00
1,11:39:00
2,11:54:00
3,12:09:00
1,12:24:00
2,12:39:00
3,12:54:00
1,13:09:00
2,13:24:00
3,13:39:00
1,13:54:00
2,14:07:00
3,14:17:00
04,14:27:00
1,14:37:00
2,14:47:00
3,14:57:00
04,15:07:00
1,15:17:00
2,15:27:00
3,15:37:00
04,15:47:00
1,15:57:00
2,16:07:00
3,16:17:00
04,16:27:00
1,16:37:00
2,16:47:00
3,16:57:00
04,17:07:00
1,17:17:00
2,17:27:00
3,17:37:00
1,17:54:00
2,18:09:00
3,18:24:00
1,18:39:00
2,18:54:00
3,19:09:00
1,19:24:00
2,19:39:00
3,19:54:00
1,20:07:00
3,20:27:00
1,20:47:00
3,21:07:00
1,21:27:00
3,21:47:00
1,22:07:00
3,22:27:00
1,22:47:00
3,23:07:00
1,23:27:00
