brygada,czas
01,06:26:00
02,06:36:00
03,06:46:00
04,06:56:00
05,07:07:00
01,07:17:00
02,07:27:00
03,07:37:00
04,07:47:00
05,07:57:00
01,08:07:00
02,08:17:00
03,08:27:00
04,08:37:00
05,08:47:00
01,14:25:00
02,14:35:00
03,14:45:00
04,14:55:00
05,15:05:00
01,15:15:00
02,15:25:00
03,15:35:00
04,15:45:00
05,15:55:00
01,16:05:00
02,16:15:00
03,16:25:00
04,16:35:00
05,16:45:00
01,16:55:00
02,17:05:00
03,17:15:00
04,17:25:00
05,17:35:00
01,17:45:00
02,17:55:00
03,18:05:00
04,18:15:00
05,18:25:00
