brygada,czas
2,04:23:00
3,04:43:00
2,05:03:00
3,05:23:00
2,05:43:00
3,05:59:00
04,06:10:00
2,06:20:00
3,06:30:00
1,06:40:00
04,06:51:00
2,07:01:00
3,07:11:00
1,07:21:00
04,07:31:00
2,07:41:00
3,07:51:00
1,08:01:00
04,08:11:00
2,08:21:00
3,08:31:00
1,08:41:00
04,08:51:00
2,09:00:00
3,09:10:00
1,09:20:00
2,09:35:00
3,09:50:00
1,10:05:00
2,10:20:00
3,10:35:00
1,10:50:00
2,11:05:00
3,11:20:00
1,11:35:00
2,11:50:00
3,12:05:00
1,12:20:00
2,12:35:00
3,12:50:00
1,13:05:00
2,13:20:00
3,13:35:00
1,13:50:00
2,14:03:00
3,14:13:00
04,14:23:00
1,14:33:00
2,14:43:00
3,14:53:00
04,15:03:00
1,15:13:00
2,15:23:00
3,15:33:00
04,15:43:00
1,15:53:00
2,16:03:00
3,16:13:00
04,16:23:00
1,16:33:00
2,16:43:00
3,16:53:00
04,17:03:00
1,17:13:00
2,17:23:00
3,17:33:00
1,17:50:00
2,18:05:00
3,18:20:00
1,18:35:00
2,18:50:00
3,19:05:00
1,19:20:00
2,19:35:00
3,19:50:00
1,20:03:00
3,20:23:00
1,20:43:00
3,21:03:00
1,21:23:00
3,21:43:00
1,22:03:00
3,22:23:00
1,22:43:00
3,23:03:00
1,23:23:00
