brygada,czas
1,05:36:00
02,05:56:00
1,06:11:00
02,06:26:00
1,06:41:00
02,06:56:00
1,07:11:00
02,07:26:00
1,07:41:00
02,07:56:00
1,08:11:00
02,08:26:00
1,08:41:00
02,08:56:00
1,09:26:00
02,09:56:00
1,10:26:00
1,10:56:00
1,11:26:00
1,11:56:00
1,12:26:00
1,12:56:00
1,13:26:00
1,13:56:00
02,14:11:00
1,14:26:00
02,14:41:00
1,14:56:00
02,15:11:00
1,15:26:00
02,15:41:00
1,15:56:00
02,16:11:00
1,16:26:00
02,16:41:00
1,16:56:00
02,17:11:00
1,17:26:00
02,17:41:00
1,17:56:00
02,18:11:00
1,18:26:00
02,18:41:00
1,18:56:00
02,19:26:00
1,19:56:00
02,20:26:00
1,20:56:00
1,21:26:00
1,21:56:00
1,22:26:00
1,22:56:00
1,23:26:00
