brygada,czas
7,04:40:00
017,04:59:00
018,05:20:00
019,05:40:00
13,05:54:00
020,06:06:00
032,06:13:00
1,06:19:00
015,06:31:00
28,06:36:00
3,06:41:00
4,06:49:00
29,06:53:00
016,06:57:00
5,07:05:00
21,07:09:00
6,07:13:00
7,07:21:00
22,07:25:00
8,07:29:00
017,07:37:00
23,07:41:00
9,07:45:00
10,07:53:00
031,07:57:00
018,08:01:00
11,08:09:00
26,08:13:00
019,08:17:00
12,08:25:00
27,08:29:00
13,08:33:00
020,08:41:00
032,08:44:00
14,08:49:00
1,08:56:00
30,09:01:00
2,09:06:00
015,09:13:00
3,09:18:00
036,09:26:00
4,09:30:00
016,09:37:00
5,09:42:00
6,09:54:00
7,10:06:00
8,10:18:00
9,10:30:00
10,10:42:00
11,10:54:00
12,11:06:00
13,11:18:00
14,11:30:00
1,11:42:00
2,11:54:00
3,12:06:00
4,12:18:00
5,12:30:00
6,12:42:00
7,12:54:00
8,13:06:00
9,13:18:00
10,13:30:00
11,13:42:00
12,13:54:00
13,14:06:00
14,14:18:00
1,14:31:00
2,14:41:00
3,14:49:00
4,14:57:00
015,15:05:00
5,15:13:00
6,15:21:00
033,15:25:00
016,15:29:00
7,15:37:00
21,15:41:00
8,15:45:00
9,15:53:00
22,15:57:00
017,16:01:00
10,16:09:00
036,16:13:00
018,16:17:00
11,16:25:00
25,16:29:00
12,16:33:00
019,16:41:00
26,16:45:00
13,16:49:00
14,16:57:00
035,17:01:00
020,17:05:00
1,17:13:00
29,17:17:00
2,17:21:00
3,17:29:00
037,17:33:00
4,17:37:00
015,17:45:00
032,17:49:00
5,17:55:00
6,17:58:00
016,18:07:00
23,18:13:00
7,18:18:00
8,18:25:00
9,18:30:00
24,18:37:00
034,18:40:00
017,18:42:00
10,18:49:00
018,18:54:00
27,18:58:00
28,19:02:00
11,19:06:00
12,19:11:00
019,19:18:00
30,19:21:00
13,19:31:00
14,19:42:00
1,19:54:00
2,20:06:00
4,20:20:00
015,20:31:00
5,20:40:00
016,20:51:00
7,21:00:00
9,21:20:00
017,21:40:00
018,21:46:00
11,22:00:00
13,22:20:00
1,22:41:00
2,23:01:00
5,23:22:00
7,23:31:00
9,23:54:00
017,24:14:00
