brygada,czas
1,05:39:00
02,05:59:00
1,06:14:00
02,06:29:00
1,06:44:00
02,06:59:00
1,07:14:00
02,07:29:00
1,07:44:00
02,07:59:00
1,08:14:00
02,08:29:00
1,08:44:00
02,08:59:00
1,09:29:00
02,09:59:00
1,10:29:00
1,10:59:00
1,11:29:00
1,11:59:00
1,12:29:00
1,12:59:00
1,13:29:00
1,13:59:00
02,14:14:00
1,14:29:00
02,14:44:00
1,14:59:00
02,15:14:00
1,15:29:00
02,15:44:00
1,15:59:00
02,16:14:00
1,16:29:00
02,16:44:00
1,16:59:00
02,17:14:00
1,17:29:00
02,17:44:00
1,17:59:00
02,18:14:00
1,18:29:00
02,18:44:00
1,18:59:00
02,19:29:00
1,19:59:00
02,20:29:00
1,20:59:00
1,21:29:00
1,21:59:00
1,22:29:00
1,22:59:00
1,23:29:00
