brygada,czas
066,04:33:00
064,05:03:00
08,05:23:00
04,05:43:00
066,05:59:00
063,06:13:00
07,06:24:00
1,06:34:00
08,06:44:00
2,06:54:00
04,07:04:00
05,07:14:00
064,07:24:00
3,07:34:00
07,07:44:00
1,07:54:00
08,08:04:00
2,08:14:00
04,08:24:00
05,08:34:00
064,08:44:00
3,08:54:00
07,09:09:00
1,09:33:00
2,10:03:00
3,10:33:00
1,11:03:00
2,11:33:00
3,12:03:00
1,12:33:00
2,13:03:00
3,13:33:00
1,14:03:00
2,14:33:00
3,15:03:00
09,15:28:00
1,15:41:00
04,15:51:00
2,16:01:00
05,16:11:00
06,16:21:00
3,16:31:00
07,16:41:00
08,16:51:00
09,17:01:00
1,17:11:00
04,17:21:00
2,17:31:00
05,17:41:00
06,17:51:00
3,18:01:00
07,18:11:00
08,18:23:00
09,18:33:00
1,18:43:00
04,18:53:00
2,19:03:00
05,19:13:00
3,19:24:00
07,19:34:00
1,20:04:00
2,20:34:00
3,21:04:00
1,21:34:00
2,22:04:00
3,22:34:00
1,23:04:00
2,23:33:00
3,24:13:00
