brygada,czas
1,05:05:00
02,05:30:00
1,05:50:00
02,06:05:00
1,06:20:00
02,06:35:00
1,06:50:00
02,07:05:00
1,07:20:00
02,07:35:00
1,07:50:00
02,08:05:00
1,08:20:00
02,08:35:00
1,08:50:00
02,09:06:00
1,09:36:00
02,10:06:00
1,10:36:00
1,11:06:00
1,11:36:00
1,12:06:00
1,12:36:00
1,13:06:00
1,13:36:00
1,14:06:00
02,14:21:00
1,14:36:00
02,14:51:00
1,15:06:00
02,15:21:00
1,15:36:00
02,15:51:00
1,16:06:00
02,16:21:00
1,16:36:00
02,16:51:00
1,17:06:00
02,17:21:00
1,17:36:00
02,17:51:00
1,18:06:00
02,18:21:00
1,18:36:00
02,18:51:00
1,19:06:00
02,19:36:00
1,20:06:00
02,20:36:00
1,21:06:00
1,21:36:00
1,22:06:00
1,22:36:00
1,23:06:00
