brygada,czas
2,04:53:00
3,05:08:00
5,05:23:00
7,05:38:00
8,05:53:00
1,06:10:00
09,06:26:00
2,06:41:00
3,06:56:00
4,07:09:00
5,07:20:00
6,07:30:00
7,07:40:00
8,07:50:00
1,08:00:00
011,08:10:00
09,08:20:00
2,08:30:00
010,08:40:00
3,08:50:00
4,09:00:00
5,09:12:00
6,09:26:00
7,09:41:00
8,09:56:00
1,10:11:00
011,10:26:00
2,10:41:00
3,10:56:00
4,11:11:00
5,11:26:00
6,11:41:00
7,11:56:00
8,12:11:00
1,12:26:00
2,12:41:00
3,12:56:00
4,13:11:00
5,13:26:00
6,13:41:00
7,13:56:00
09,14:11:00
8,14:26:00
1,14:41:00
2,14:56:00
3,15:11:00
4,15:26:00
012,15:37:00
5,15:39:00
6,15:49:00
7,15:59:00
09,16:09:00
8,16:19:00
010,16:29:00
1,16:39:00
2,16:49:00
011,16:59:00
3,17:09:00
4,17:19:00
012,17:29:00
5,17:39:00
6,17:49:00
7,17:59:00
09,18:09:00
8,18:19:00
010,18:29:00
1,18:39:00
2,18:49:00
011,18:59:00
3,19:11:00
4,19:26:00
5,19:41:00
6,19:56:00
09,20:11:00
8,20:26:00
1,20:41:00
2,20:56:00
011,21:10:00
3,21:24:00
4,21:39:00
5,21:54:00
6,22:08:00
8,22:23:00
1,22:38:00
2,22:53:00
011,23:08:00
4,23:23:00
