brygada,czas
2,04:42:00
4,05:09:00
6,05:30:00
010,05:50:00
2,06:00:00
07,06:10:00
3,06:20:00
4,06:30:00
5,06:40:00
6,06:50:00
09,06:55:00
010,07:00:00
011,07:05:00
1,07:10:00
08,07:17:00
2,07:22:00
07,07:32:00
3,07:47:00
4,08:02:00
5,08:22:00
6,08:32:00
010,08:52:00
2,09:02:00
1,09:22:00
07,09:32:00
3,09:52:00
4,10:02:00
5,10:22:00
6,10:32:00
2,10:52:00
1,11:02:00
3,11:22:00
4,11:32:00
5,11:52:00
6,12:02:00
2,12:22:00
1,12:32:00
3,12:52:00
4,13:02:00
5,13:22:00
6,13:32:00
2,13:52:00
1,14:02:00
3,14:22:00
4,14:32:00
5,14:46:00
09,14:56:00
6,15:06:00
010,15:16:00
1,15:26:00
2,15:36:00
07,15:46:00
3,15:56:00
08,16:06:00
4,16:16:00
5,16:26:00
09,16:36:00
6,16:46:00
010,16:56:00
1,17:06:00
2,17:16:00
07,17:26:00
3,17:36:00
08,17:46:00
4,17:56:00
5,18:06:00
09,18:22:00
6,18:32:00
1,18:52:00
2,19:02:00
3,19:22:00
4,19:32:00
5,19:52:00
09,20:02:00
6,20:22:00
2,20:32:00
4,21:02:00
5,21:30:00
6,22:00:00
4,22:30:00
5,23:00:00
6,23:27:00
