brygada,czas
9,04:42:00
675,05:12:00
2,05:35:00
4,05:51:00
678,06:01:00
6,06:11:00
013,06:22:00
7,06:32:00
8,06:42:00
9,06:52:00
015,07:02:00
10,07:14:00
1,07:24:00
2,07:34:00
3,07:44:00
786,07:55:00
4,08:05:00
679,08:15:00
012,08:25:00
6,08:35:00
013,08:45:00
7,08:55:00
014,09:04:00
8,09:14:00
9,09:29:00
10,09:44:00
1,09:59:00
2,10:14:00
3,10:29:00
4,10:44:00
679,10:59:00
6,11:14:00
7,11:29:00
8,11:44:00
9,11:59:00
10,12:14:00
1,12:29:00
2,12:44:00
3,12:59:00
4,13:14:00
679,13:29:00
6,13:44:00
7,13:59:00
8,14:15:00
9,14:30:00
10,14:43:00
1,14:53:00
2,15:03:00
015,15:13:00
3,15:24:00
011,15:34:00
4,15:44:00
679,15:54:00
012,16:04:00
6,16:14:00
7,16:25:00
013,16:35:00
8,16:45:00
014,16:55:00
9,17:05:00
10,17:15:00
1,17:25:00
2,17:35:00
015,17:45:00
3,17:55:00
011,18:05:00
4,18:15:00
679,18:25:00
012,18:35:00
6,18:45:00
7,18:55:00
013,19:04:00
8,19:16:00
9,19:29:00
10,19:44:00
1,19:59:00
2,20:14:00
3,20:29:00
4,20:44:00
6,20:59:00
7,21:14:00
8,21:28:00
9,21:43:00
10,21:58:00
1,22:12:00
2,22:27:00
3,22:42:00
6,23:12:00
