brygada,czas
06,04:47:00
4,05:02:00
07,05:17:00
5,05:33:00
1,05:47:00
06,06:03:00
469,06:18:00
07,06:33:00
3,06:51:00
08,07:05:00
4,07:21:00
06,07:36:00
5,07:51:00
07,08:06:00
1,08:21:00
08,08:36:00
469,08:51:00
06,09:06:00
3,09:21:00
4,09:51:00
5,10:20:00
1,10:50:00
469,11:20:00
3,11:50:00
4,12:20:00
5,12:50:00
1,13:20:00
469,13:50:00
3,14:20:00
08,14:33:00
4,14:50:00
06,15:03:00
5,15:20:00
07,15:37:00
1,15:50:00
08,16:07:00
469,16:20:00
06,16:37:00
3,16:50:00
07,17:07:00
4,17:20:00
08,17:37:00
5,17:50:00
06,18:07:00
1,18:20:00
07,18:36:00
469,18:50:00
3,19:20:00
4,19:50:00
5,20:20:00
1,20:50:00
469,21:18:00
3,21:47:00
4,22:17:00
5,22:47:00
469,23:27:00
