brygada,czas
2,04:44:00
3,05:04:00
2,05:24:00
3,05:44:00
2,06:04:00
3,06:20:00
04,06:31:00
2,06:41:00
3,06:51:00
1,07:01:00
04,07:14:00
2,07:25:00
3,07:35:00
1,07:45:00
04,07:55:00
2,08:05:00
3,08:15:00
1,08:25:00
04,08:35:00
2,08:45:00
3,08:55:00
1,09:05:00
04,09:13:00
2,09:21:00
3,09:31:00
1,09:41:00
2,09:56:00
3,10:11:00
1,10:26:00
2,10:41:00
3,10:56:00
1,11:11:00
2,11:26:00
3,11:41:00
1,11:56:00
2,12:11:00
3,12:26:00
1,12:41:00
2,12:56:00
3,13:11:00
1,13:26:00
2,13:41:00
3,13:56:00
1,14:11:00
2,14:24:00
3,14:34:00
04,14:44:00
1,14:54:00
2,15:04:00
3,15:18:00
04,15:28:00
1,15:38:00
2,15:48:00
3,15:58:00
04,16:08:00
1,16:18:00
2,16:28:00
3,16:38:00
04,16:48:00
1,16:58:00
2,17:08:00
3,17:18:00
04,17:28:00
1,17:38:00
2,17:48:00
3,17:58:00
1,18:15:00
2,18:30:00
3,18:45:00
1,19:00:00
2,19:12:00
3,19:26:00
1,19:41:00
2,19:56:00
3,20:11:00
1,20:24:00
3,20:44:00
1,21:04:00
3,21:24:00
1,21:44:00
3,22:04:00
1,22:24:00
3,22:44:00
1,23:04:00
3,23:24:00
1,23:44:00
