brygada,czas
6,05:02:00
013,05:17:00
8,05:32:00
9,05:43:00
10,05:53:00
675,06:01:00
1,06:10:00
2,06:20:00
3,06:30:00
4,06:40:00
678,06:50:00
012,06:59:00
6,07:09:00
013,07:19:00
7,07:28:00
014,07:38:00
8,07:48:00
9,07:58:00
015,08:10:00
10,08:18:00
1,08:28:00
2,08:38:00
3,08:48:00
786,08:59:00
4,09:15:00
679,09:29:00
6,09:44:00
7,09:59:00
8,10:14:00
9,10:29:00
10,10:44:00
1,10:59:00
2,11:14:00
3,11:29:00
4,11:44:00
679,11:59:00
6,12:14:00
7,12:29:00
8,12:44:00
9,12:59:00
10,13:14:00
1,13:29:00
2,13:44:00
3,13:59:00
4,14:14:00
679,14:29:00
012,14:39:00
6,14:48:00
7,14:57:00
013,15:07:00
8,15:17:00
014,15:27:00
9,15:37:00
10,15:47:00
1,15:57:00
2,16:06:00
015,16:16:00
3,16:26:00
011,16:36:00
4,16:46:00
679,16:56:00
012,17:06:00
6,17:16:00
7,17:26:00
013,17:36:00
8,17:47:00
014,17:57:00
9,18:07:00
10,18:17:00
1,18:27:00
2,18:42:00
015,18:50:00
3,18:58:00
011,19:06:00
4,19:14:00
679,19:29:00
6,19:44:00
7,19:59:00
8,20:14:00
9,20:29:00
10,20:44:00
1,20:59:00
2,21:15:00
3,21:31:00
4,21:47:00
6,22:02:00
7,22:17:00
9,22:40:00
2,23:10:00
3,23:40:00
