brygada,czas
08,04:52:00
1,05:22:00
2,05:47:00
3,05:57:00
460,06:07:00
6,06:17:00
5,06:26:00
461,06:36:00
08,06:46:00
09,06:54:00
2,07:04:00
1,07:14:00
460,07:24:00
6,07:34:00
3,07:44:00
461,07:54:00
08,08:04:00
5,08:14:00
2,08:24:00
09,08:34:00
460,08:47:00
1,09:02:00
3,09:17:00
6,09:32:00
5,09:47:00
461,10:02:00
2,10:17:00
1,10:32:00
460,10:47:00
6,11:02:00
3,11:17:00
461,11:32:00
5,11:47:00
1,12:02:00
2,12:17:00
6,12:32:00
460,12:47:00
461,13:02:00
3,13:17:00
1,13:32:00
5,13:47:00
6,14:02:00
2,14:17:00
461,14:30:00
460,14:40:00
012,14:45:00
08,14:49:00
1,14:59:00
011,15:04:00
3,15:10:00
09,15:19:00
012,15:24:00
6,15:29:00
5,15:39:00
011,15:44:00
461,15:49:00
460,15:59:00
012,16:04:00
2,16:09:00
1,16:19:00
011,16:24:00
3,16:29:00
08,16:39:00
010,16:44:00
6,16:49:00
5,16:59:00
012,17:04:00
09,17:09:00
460,17:19:00
010,17:24:00
2,17:29:00
461,17:39:00
012,17:44:00
011,17:49:00
3,17:59:00
010,18:04:00
08,18:09:00
1,18:19:00
012,18:24:00
5,18:29:00
09,18:39:00
010,18:44:00
6,18:49:00
2,18:59:00
012,19:03:00
461,19:08:00
460,19:18:00
010,19:24:00
3,19:32:00
011,19:47:00
5,20:02:00
2,20:17:00
461,20:32:00
6,20:47:00
3,21:01:00
460,21:15:00
5,21:30:00
461,21:45:00
2,22:00:00
3,22:22:00
460,22:52:00
461,23:22:00
