brygada,czas
2,04:25:00
3,04:45:00
2,05:05:00
3,05:25:00
2,05:45:00
3,06:01:00
04,06:12:00
2,06:22:00
3,06:32:00
1,06:42:00
04,06:53:00
2,07:03:00
3,07:13:00
1,07:23:00
04,07:33:00
2,07:43:00
3,07:53:00
1,08:03:00
04,08:13:00
2,08:23:00
3,08:33:00
1,08:43:00
04,08:53:00
2,09:02:00
3,09:12:00
1,09:22:00
2,09:37:00
3,09:52:00
1,10:07:00
2,10:22:00
3,10:37:00
1,10:52:00
2,11:07:00
3,11:22:00
1,11:37:00
2,11:52:00
3,12:07:00
1,12:22:00
2,12:37:00
3,12:52:00
1,13:07:00
2,13:22:00
3,13:37:00
1,13:52:00
2,14:05:00
3,14:15:00
04,14:25:00
1,14:35:00
2,14:45:00
3,14:55:00
04,15:05:00
1,15:15:00
2,15:25:00
3,15:35:00
04,15:45:00
1,15:55:00
2,16:05:00
3,16:15:00
04,16:25:00
1,16:35:00
2,16:45:00
3,16:55:00
04,17:05:00
1,17:15:00
2,17:25:00
3,17:35:00
1,17:52:00
2,18:07:00
3,18:22:00
1,18:37:00
2,18:52:00
3,19:07:00
1,19:22:00
2,19:37:00
3,19:52:00
1,20:05:00
3,20:25:00
1,20:45:00
3,21:05:00
1,21:25:00
3,21:45:00
1,22:05:00
3,22:25:00
1,22:45:00
3,23:05:00
1,23:25:00
