brygada,czas
2,04:33:00
3,04:53:00
2,05:13:00
3,05:33:00
2,05:53:00
3,06:09:00
04,06:20:00
2,06:30:00
3,06:40:00
1,06:50:00
04,07:01:00
2,07:12:00
3,07:22:00
1,07:32:00
04,07:42:00
2,07:52:00
3,08:02:00
1,08:12:00
04,08:22:00
2,08:32:00
3,08:42:00
1,08:52:00
04,09:02:00
2,09:10:00
3,09:20:00
1,09:30:00
2,09:45:00
3,10:00:00
1,10:15:00
2,10:30:00
3,10:45:00
1,11:00:00
2,11:15:00
3,11:30:00
1,11:45:00
2,12:00:00
3,12:15:00
1,12:30:00
2,12:45:00
3,13:00:00
1,13:15:00
2,13:30:00
3,13:45:00
1,14:00:00
2,14:13:00
3,14:23:00
04,14:33:00
1,14:43:00
2,14:53:00
3,15:04:00
04,15:14:00
1,15:24:00
2,15:34:00
3,15:44:00
04,15:54:00
1,16:04:00
2,16:14:00
3,16:24:00
04,16:34:00
1,16:44:00
2,16:54:00
3,17:04:00
04,17:14:00
1,17:24:00
2,17:34:00
3,17:44:00
1,18:01:00
2,18:16:00
3,18:31:00
1,18:46:00
2,19:01:00
3,19:15:00
1,19:30:00
2,19:45:00
3,20:00:00
1,20:13:00
3,20:33:00
1,20:53:00
3,21:13:00
1,21:33:00
3,21:53:00
1,22:13:00
3,22:33:00
1,22:53:00
3,23:13:00
1,23:33:00
