brygada,czas
1,05:08:00
02,05:33:00
1,05:53:00
02,06:08:00
1,06:23:00
02,06:38:00
1,06:53:00
02,07:08:00
1,07:23:00
02,07:38:00
1,07:53:00
02,08:08:00
1,08:23:00
02,08:38:00
1,08:53:00
02,09:09:00
1,09:39:00
02,10:09:00
1,10:39:00
1,11:09:00
1,11:39:00
1,12:09:00
1,12:39:00
1,13:09:00
1,13:39:00
1,14:09:00
02,14:24:00
1,14:39:00
02,14:54:00
1,15:09:00
02,15:24:00
1,15:39:00
02,15:54:00
1,16:09:00
02,16:24:00
1,16:39:00
02,16:54:00
1,17:09:00
02,17:24:00
1,17:39:00
02,17:54:00
1,18:09:00
02,18:24:00
1,18:39:00
02,18:54:00
1,19:09:00
02,19:39:00
1,20:09:00
02,20:39:00
1,21:09:00
1,21:39:00
1,22:09:00
1,22:39:00
1,23:09:00
