brygada,czas
1,05:04:00
02,05:29:00
1,05:49:00
02,06:04:00
1,06:19:00
02,06:34:00
1,06:49:00
02,07:04:00
1,07:19:00
02,07:34:00
1,07:49:00
02,08:04:00
1,08:19:00
02,08:34:00
1,08:49:00
02,09:05:00
1,09:35:00
02,10:05:00
1,10:35:00
1,11:05:00
1,11:35:00
1,12:05:00
1,12:35:00
1,13:05:00
1,13:35:00
1,14:05:00
02,14:20:00
1,14:35:00
02,14:50:00
1,15:05:00
02,15:20:00
1,15:35:00
02,15:50:00
1,16:05:00
02,16:20:00
1,16:35:00
02,16:50:00
1,17:05:00
02,17:20:00
1,17:35:00
02,17:50:00
1,18:05:00
02,18:20:00
1,18:35:00
02,18:50:00
1,19:05:00
02,19:35:00
1,20:05:00
02,20:35:00
1,21:05:00
1,21:35:00
1,22:05:00
1,22:35:00
1,23:05:00
