brygada,czas
2,04:41:00
3,05:01:00
2,05:21:00
3,05:41:00
2,06:01:00
3,06:17:00
04,06:28:00
2,06:38:00
3,06:48:00
1,06:58:00
04,07:11:00
2,07:22:00
3,07:32:00
1,07:42:00
04,07:52:00
2,08:02:00
3,08:12:00
1,08:22:00
04,08:32:00
2,08:42:00
3,08:52:00
1,09:02:00
04,09:10:00
2,09:18:00
3,09:28:00
1,09:38:00
2,09:53:00
3,10:08:00
1,10:23:00
2,10:38:00
3,10:53:00
1,11:08:00
2,11:23:00
3,11:38:00
1,11:53:00
2,12:08:00
3,12:23:00
1,12:38:00
2,12:53:00
3,13:08:00
1,13:23:00
2,13:38:00
3,13:53:00
1,14:08:00
2,14:21:00
3,14:31:00
04,14:41:00
1,14:51:00
2,15:01:00
3,15:15:00
04,15:25:00
1,15:35:00
2,15:45:00
3,15:55:00
04,16:05:00
1,16:15:00
2,16:25:00
3,16:35:00
04,16:45:00
1,16:55:00
2,17:05:00
3,17:15:00
04,17:25:00
1,17:35:00
2,17:45:00
3,17:55:00
1,18:12:00
2,18:27:00
3,18:42:00
1,18:57:00
2,19:09:00
3,19:23:00
1,19:38:00
2,19:53:00
3,20:08:00
1,20:21:00
3,20:41:00
1,21:01:00
3,21:21:00
1,21:41:00
3,22:01:00
1,22:21:00
3,22:41:00
1,23:01:00
3,23:21:00
1,23:41:00
