VehicleNumber,Lines,Brigade
1000,213,1
1001,225,503
1002,225,501
1003,219,3
1004,213,3
1005,219,1
1006,213,4
1007,225,04
10071,L-8,1
10072,L31,1
10073,L49,1
10074,L24,696
1008,213,5
1012,219,2
1013,225,502
1014,213,2
1021,339,02
1022,107,3
1023,263,06
1024,192,5
1025,192,4
1026,815,777
1027,339,01
1028,339,03
1029,192,06
1030,192,1
1031,208,04
1034,163,03
1035,164,05
1036,208,05
1037,107,9
1038,163,01
1039,108,2
1040,107,8
1042,107,2
1043,107,4
1044,107,5
1046,204,07
1048,204,06
1049,204,05
1050,207,3
1051,228,3
1052,228,2
1054,228,1
1055,208,591
1057,228,3
1059,208,2
1060,108,1
1061,163,02
1062,108,4
1064,809,776
1066,192,2
1067,200,1
1068,107,6
1069,108,3
1070,108,399
1071,263,4
1072,108,5
1073,107,7
1075,208,06
1076,192,3
1077,164,04
1078,208,03
1079,107,1
1101,338,02
1102,173,10
1106,170,2
1109,170,4
1110,240,2
1112,173,8
1115,303,3
1117,338,04
1118,303,2
1119,123,5
11201,L27,1
11202,L27,2
1200,218,3
1202,166,010
1203,263,1
1204,118,4
1205,106,3
1206,251,62
1207,263,3
1208,739,07
1209,319,03
1211,218,1
1212,119,07
1213,106,4
1214,106,1
1216,263,5
1217,218,2
1218,251,61
1219,319,06
1220,106,2
1221,139,63
1222,319,01
1223,263,2
1224,106,5
1400,173,2
1401,204,04
1411,146,07
1414,183,2
1415,319,05
1416,146,2
1417,119,1
1418,730,053
1420,183,6
1421,147,3
1422,173,011
1424,153,2
1425,173,3
1426,153,1
1427,173,5
1428,117,4
1429,702,2
1430,173,012
1500,338,02
1501,197,010
1502,169,5
1505,156,06
1506,197,08
1508,221,1
1509,166,343
1513,106,09
1520,119,3
1521,319,04
1522,117,3
1523,147,4
1524,146,1
1525,119,2
1526,183,1
1527,168,1
1528,119,5
1529,183,07
1530,722,52
1532,119,06
1533,218,5
1534,218,4
1535,166,6
1536,169,4
1537,338,05
1539,123,4
1540,118,3
1541,156,2
1544,178,09
1546,122,013
1548,212,06
1549,181,2
1550,122,012
1551,169,2
1552,N46,2
1553,197,7
1554,303,1
1800,118,1
1801,338,03
1802,106,08
1803,126,3
1804,156,5
1805,156,1
1806,170,06
1807,181,1
1809,240,1
1810,166,2
1811,166,5
1812,181,4
1813,736,2
1814,169,3
1815,123,09
1816,170,1
1817,181,3
1818,166,09
1819,170,3
1830,115,1
1833,126,055
1835,173,4
1838,183,5
1839,126,2
1840,115,3
1842,183,4
1844,156,3
1845,117,5
1846,126,4
1848,115,2
1849,115,6
1851,173,1
1855,173,9
1856,170,05
1857,115,4
1858,183,3
1862,115,5
1863,173,7
1901,319,01
1904,119,06
1906,139,65
1907,222,2
1908,222,6
1909,106,6
1910,222,3
1911,222,5
1914,251,64
1916,166,011
1917,106,7
1918,139,066
1919,222,1
1990,165,064
1991,331,062
1992,331,063
1993,331,061
1996,331,06
1997,331,05
2000,189,025
2001,525,1
2002,189,14
2004,504,8
2005,165,1
2008,519,1
2010,189,026
2012,522,2
2013,189,028
2014,174,1
2016,174,4
2017,709,7
20174,L50,2
2018,504,3
2019,739,012
2020,189,021
2021,189,12
2022,739,09
2023,522,1
2025,162,016
2026,402,9
2027,217,4
2029,504,012
2030,189,9
2031,189,1
2032,189,027
2033,522,3
2034,522,7
2037,189,5
2038,739,08
2039,165,3
2040,710,4
2041,189,8
2044,739,011
2045,174,08
2046,522,011
2200,187,10
2201,184,3
2202,124,2
2203,182,012
2204,717,068
2205,719,1
2206,401,4
2208,719,011
2209,136,2
2210,523,5
2211,136,9
2212,177,4
2216,716,068
2217,517,7
2218,717,63
2219,521,5
2220,719,4
2221,184,8
2223,317,2
2224,517,8
2225,177,07
2226,401,7
2227,171,4
2228,401,023
2229,136,5
2230,184,7
2231,177,1
2233,191,010
2234,105,011
2235,517,10
2236,188,09
2239,523,10
2240,172,010
2241,716,66
2242,401,1
2243,719,010
2244,105,09
2246,713,05
2247,517,015
2248,172,6
2249,517,5
2250,187,5
2251,187,12
2252,191,5
2253,706,2
2254,317,06
2255,188,5
2256,105,2
2257,717,067
2258,401,3
2259,523,023
25181,L20,1
25183,L20,1
25184,L22,2
25185,L22,1
25188,L51,1
25189,L22,03
3400,186,013
3401,509,2
3402,145,10
3403,527,010
3404,Z26,1
3405,138,4
3406,112,5
3407,190,5
3408,527,519
3409,414,06
3410,414,08
3411,705,07
3412,Z26,2
3413,511,1
3414,120,010
3415,509,025
3416,102,779
3417,509,4
3418,132,07
3419,190,2
3420,190,018
3423,120,4
3424,120,2
3425,145,8
3426,340,066
3427,145,2
3428,202,547
3429,509,12
3430,120,7
3431,511,08
3432,140,04
3433,509,021
3434,500,4
3435,509,022
3436,509,1
3437,509,017
3438,245,2
3439,199,2
3441,190,12
3442,511,06
3443,414,07
3444,120,4
3445,503,014
3447,705,1
3448,120,7
3450,245,05
3451,145,10
3452,723,476
3453,738,5
3454,527,518
3455,140,08
3456,120,6
3457,511,07
3458,190,3
3459,112,2
3460,112,7
3462,132,3
3464,132,4
3465,E-2,02
3466,509,026
3467,190,8
3468,132,2
3469,132,08
35132,L12,683
35134,L-5,1
35137,L-5,2
35140,L-2,782
35155,L13,03
4200,714,2
4201,122,4
4202,207,06
4204,178,2
4207,122,015
4208,122,7
4209,178,010
4210,178,5
4211,129,2
4212,154,05
4213,729,1
4214,178,8
4215,154,4
4216,178,3
4218,154,1
4219,255,3
4220,154,2
4221,207,05
4223,255,1
4224,207,2
4225,207,1
4226,129,4
4227,197,09
4228,178,1
4229,154,06
4230,129,1
4232,207,4
4233,122,9
4234,122,679
4235,714,3
4236,197,1
4237,197,5
4238,249,2
4239,249,676
4240,255,2
4241,149,04
4242,178,011
4244,129,3
4245,714,04
4247,178,6
4248,197,2
4249,320,787
4300,319,02
4301,168,08
4302,119,4
4303,153,3
4304,319,07
4305,146,4
4306,146,5
4307,147,5
4310,168,09
4311,319,09
4312,146,09
4313,142,07
4314,153,04
4315,147,2
4316,147,1
4317,117,1
4320,730,01
4321,117,2
4322,702,1
4323,702,03
4326,146,08
4327,142,06
4328,722,61
4329,168,6
4331,154,3
4332,714,3
4333,122,2
4334,178,7
4335,729,02
4336,197,4
4337,249,678
4338,178,4
4339,714,1
4400,221,02
4401,122,1
4402,156,4
4403,197,011
4405,122,014
4406,166,7
4407,173,6
4409,122,8
4411,123,1
4412,122,6
4413,169,1
4414,118,2
4415,117,06
4416,134,2
4417,134,3
4418,166,8
4419,123,07
4420,126,1
4421,122,3
4422,123,08
4423,134,04
4424,123,2
4425,134,1
4426,123,6
4427,338,01
4428,197,3
4429,166,4
4430,122,10
4431,123,3
4432,226,04
4433,134,05
4434,197,6
5201,171,452
5202,ZA1,04
5203,186,019
5204,191,1
5205,414,02
5206,713,04
5207,706,1
5208,177,09
5211,124,1
5212,188,6
5213,105,5
5214,401,028
5215,184,493
5216,414,04
5217,713,3
5218,ZA1,04
5219,517,1
5220,517,017
5221,188,2
5222,401,027
5223,523,025
5224,188,1
5225,184,5
5226,191,2
5227,171,5
5228,105,6
5229,517,2
5232,523,8
5234,184,09
5236,172,5
5237,177,3
5238,105,770
5239,171,453
5240,136,015
5241,172,2
5242,182,8
5243,716,64
5245,716,62
5246,523,7
5247,187,9
5248,401,6
5249,191,6
5250,523,13
5251,517,6
5252,ZA1,03
5253,523,11
5254,517,4
5255,717,069
5257,182,1
5258,401,08
5259,171,6
5260,401,2
5401,162,3
5402,512,2
5403,509,3
5404,705,64
5405,160,513
5406,160,516
5407,132,1
5408,511,4
5409,731,478
5411,738,06
5412,245,1
5413,509,11
5414,112,1
5415,723,474
5416,160,517
5417,138,6
5418,160,514
5419,Z26,3
5420,132,5
5421,N13,2
5423,517,013
5424,112,8
5425,245,4
5426,731,480
5427,731,479
5428,145,4
5429,190,017
5430,520,5
5431,112,6
5433,120,8
5434,735,65
5435,735,62
5436,160,515
5437,512,5
5439,509,016
5440,190,11
5442,517,014
5443,731,477
5444,500,2
5446,509,5
5447,738,1
5448,127,8
5449,509,8
5450,190,1
5451,199,3
5453,509,13
5455,162,1
5456,705,07
5457,511,2
5458,509,14
5460,190,017
5870,175,408
5871,128,407
5873,519,5
5875,127,3
5877,503,12
5878,128,700
5879,503,10
5880,128,703
5881,519,6
5882,175,411
5883,175,333
5884,128,402
5885,128,405
5886,503,6
5887,503,1
5888,175,334
5889,127,9
5891,519,8
5892,175,705
5893,503,11
5894,175,705
5896,503,3
5897,519,7
5898,175,400
5899,175,704
5900,158,7
5902,180,438
5903,180,737
5904,128,701
5906,180,015
5907,128,702
5908,175,409
5910,116,5
5911,175,706
5912,111,5
5914,116,6
5915,503,2
5916,180,5
5917,180,7
5919,175,707
5920,503,4
5921,503,8
5922,116,8
5923,128,403
5925,128,404
5926,111,8
5927,175,410
5928,111,7
5929,116,3
5930,116,12
5931,175, 
5932,180,13
5933,180,10
5934,158,5
5935,111,2
5936,158,6
5937,116,15
5938,111,4
5941,111,10
5942,116,17
5944,180,015
5945,158,9
5946,158, 
5947,128,401
5948,116,4
5949,175,412
5951,518,010
5953,518,011
5954,180,016
5955,111,3
5956,116,13
5957,116,431
5958,116,10
5959,180,1
5960,111,012
5961,503,014
5962,116,2
5963,111,1
5964,116,9
5965,503,013
5966,503,9
5967,518,012
5969,180,4
5970,518,6
5971,127,7
5972,180,2
5973,518,09
5974,180,12
5975,127,4
5976,116,11
5977,503,5
5978,116,14
5979,127,1
5980,180,9
5981,116,7
5982,518,5
5983,518,3
5984,111,9
5985,503,7
5986,180,6
5987,116,16
5989,518,4
5990,180,14
5992,111,6
5993,518,7
5994,518,2
5996,111,011
5997,180,11
5998,518,1
60055,L18,1
60056,L29,1
60058,L-7,1
60060,L-7,2
6200,191,7
6201,136,7
6202,105,1
6203,711,709
6204,177,2
6206,401,6
6207,191,3
6208,523,14
6209,414,05
6210,703,506
6212,ZA1,01
6213,703,512
6214,186,018
6215,716,61
6217,719,2
6218,523,017
6219,517,3
6220,317,07
6221,523,017
6222,523,024
6223,523,026
6224,188,013
6226,105,3
6228,ZA1,02
6229,158,010
6230,105,08
6231,317,3
6232,717,65
6234,414,03
6235,148,012
6236,105,7
6237,105,013
6240,136,11
6242,733,710
6243,122,786
6244,414,01
70004,L39,2
70008,L39,1
70033,L14,1
70034,L-3,03
70035,L16,1
70036,L-3,02
70042,L-1,2
7200,105,012
7201,187,1
7202,401,010
7203,721,02
7204,112,4
7205,401,026
7206,177,08
7207,721,1
7208,190,10
7209,189,019
7210,401,023
7211,189,15
7212,186,018
7213,186,017
7214,177,6
7216,711,507
7218,191,4
7220,401,024
7221,719,5
7222,189,13
7223,187,4
7224,189,023
7226,703,709
7227,728,02
7228,713,2
7229,187,6
7230,189,020
7231,414,05
7232,190,4
7233,112,9
7234,743,1
7235,189,3
7236,172,4
7237,189,10
7238,189,6
7239,190,9
7240,190,6
7242,189,16
7243,189,019
7245,401,5
7247,136,4
7248,189,4
7249,189,024
7250,177,675
7251,189,022
7252,190,014
7253,189,11
7254,124,03
7255,184,6
7256,148,011
7257,187,7
7258,172,7
7301,158,4
7302,411,719
7303,125,1
7304,202,546
7305,521,3
7306,202,542
7307,162,4
7308,402,3
7309,525,8
7310,523,9
7311,402,7
7312,199,4
7313,521,2
7314,E-1,01
7315,402,013
7316,158,2
7318,102,543
7319,182,5
7320,523,2
7322,507,3
7323,151,1
7326,182,6
7327,521,08
7328,507,09
7329,704,03
733,150,011
7330,507,4
7331,507,8
