Time,Lon,Lat
1707980647.0,21.067122,52.129875
1707980658.0,21.067747,52.12981
1707980674.0,21.068325,52.129223
1707980684.0,21.068501,52.128979
1707980706.0,21.068537,52.128933
1707980721.0,21.068556,52.128933
1707980728.0,21.06856,52.128933
1707980745.0,21.068558,52.128933
1707980752.0,21.068552,52.128929
1707980760.0,21.06856,52.128929
1707980778.0,21.068567,52.128937
1707980784.0,21.06856,52.128937
1707980799.0,21.068546,52.128937
1707980807.0,21.068544,52.128937
1707980823.0,21.068544,52.128929
1707980831.0,21.068537,52.128933
1707980846.0,21.068533,52.128929
1707980853.0,21.068542,52.128933
1707980877.0,21.068533,52.128933
1707980916.0,21.068647,52.128815
1707980923.0,21.068644,52.128815
1707980939.0,21.068636,52.128819
1707980952.0,21.068638,52.128826
1707980962.0,21.06863,52.12883
1707980978.0,21.068636,52.12883
1707980993.0,21.06864,52.12883
1707981001.0,21.068634,52.128826
1707981017.0,21.06864,52.12883
1707981025.0,21.068644,52.12883
1707981032.0,21.068647,52.12883
1707981048.0,21.068645,52.128838
1707981062.0,21.068691,52.12883
1707981071.0,21.06868,52.128834
1707981094.0,21.068665,52.128838
1707981110.0,21.068659,52.128838
1707981118.0,21.068655,52.128838
1707981124.0,21.068653,52.128838
1707981149.0,21.068674,52.128845
1707981164.0,21.068668,52.128845
1707981172.0,21.068666,52.128845
1707981196.0,21.068655,52.128845
1707981204.0,21.068655,52.128845
1707981227.0,21.068645,52.128838
1707981243.0,21.068636,52.12883
1707981251.0,21.068634,52.128826
1707981258.0,21.068632,52.12883
1707981274.0,21.068638,52.128822
1707981282.0,21.068636,52.128822
1707981299.0,21.0686257,52.1288159
1707981321.0,21.068628,52.128822
1707981343.0,21.068634,52.128834
1707981367.0,21.068638,52.128834
1707981378.0,21.068644,52.128834
1707981388.0,21.068651,52.128838
1707981396.0,21.068655,52.128834
1707981410.0,21.068651,52.128826
1707981418.0,21.068659,52.128815
1707981428.0,21.068991,52.128643
1707981450.0,21.068333,52.128574
1707981466.0,21.06752,52.129452
1707981473.0,21.067204,52.12981
1707981489.0,21.066481,52.130669
1707981500.0,21.066214,52.130966
1707981519.0,21.06621,52.130993
1707981526.0,21.066101,52.131111
1707981542.0,21.065477,52.131283
1707981566.0,21.064766,52.131252
