Time,Lon,Lat
1707980651.0,21.0519446,52.1792428
1707980666.0,21.0531136,52.1800413
1707980677.0,21.0534286,52.1802775
1707980691.0,21.0534893,52.1804088
1707980716.0,21.0546915,52.1811208
1707980726.0,21.0548983,52.1812188
1707980736.0,21.0553328,52.1814568
1707980746.0,21.0554243,52.1814673
1707980756.0,21.0554438,52.1814518
1707980771.0,21.0554575,52.1814026
1707980781.0,21.0554795,52.1813963
1707980791.0,21.0554936,52.1813945
1707980801.0,21.055511,52.1813895
1707980816.0,21.0555268,52.1813965
1707980826.0,21.0557265,52.1816013
1707980836.0,21.0557106,52.1816333
1707980851.0,21.0555601,52.1818681
1707980861.0,21.0548348,52.1826013
1707980884.0,21.0525275,52.1848546
1707980921.0,21.0506021,52.1865741
1707980933.0,21.049076,52.187906
1707980953.0,21.048808,52.188429
1707980996.0,21.048808,52.188429
1707981016.0,21.047914,52.189135
1707981036.0,21.046926,52.189995
1707981056.0,21.04613,52.190771
1707981076.0,21.045881,52.191031
1707981096.0,21.045349,52.19154
1707981111.0,21.0453603,52.1914801
1707981121.0,21.0453545,52.191484
1707981136.0,21.0453295,52.1914936
1707981156.0,21.0447783,52.1921341
1707981161.0,21.044378,52.19251
1707981176.0,21.04275,52.194048
1707981201.0,21.0399795,52.196672
1707981211.0,21.0394995,52.1970868
1707981236.0,21.038921,52.1976825
1707981246.0,21.0388083,52.197852
1707981256.0,21.0387695,52.1979165
1707981266.0,21.0387345,52.1979675
1707981276.0,21.038711,52.1980026
1707981291.0,21.0386116,52.1981613
1707981301.0,21.0386205,52.1982138
1707981317.0,21.0386298,52.198258
1707981342.0,21.038243,52.1986346
1707981377.0,21.038243,52.1986346
1707981397.0,21.0367696,52.2001035
1707981407.0,21.0364738,52.2004155
1707981422.0,21.0359641,52.2010581
1707981432.0,21.0357856,52.2012356
1707981452.0,21.0356888,52.201326
1707981467.0,21.0355211,52.2014953
1707981477.0,21.0354713,52.2015245
1707981487.0,21.0354198,52.2015691
1707981497.0,21.0352966,52.2016978
1707981522.0,21.0349801,52.201973
1707981532.0,21.0348453,52.202164
1707981542.0,21.0347996,52.2021965
1707981562.0,21.0346601,52.2023536
