Time,Lon,Lat
1707980644.0,20.969338,52.213729
1707980664.0,20.971348,52.213036
1707980684.0,20.972511,52.212761
1707980704.0,20.972511,52.212761
1707980724.0,20.973721,52.21229
1707980744.0,20.975684,52.211571
1707980764.0,20.975846,52.211503
1707980784.0,20.975846,52.211503
1707980804.0,20.976478,52.211249
1707980824.0,20.976958,52.21126
1707980844.0,20.977201,52.211444
1707980864.0,20.97775,52.212283
1707980904.0,20.979388,52.214271
1707980924.0,20.979736,52.214698
1707980944.0,20.980473,52.215533
1707980984.0,20.982395,52.217693
1707981004.0,20.982395,52.217693
1707981024.0,20.983374,52.218186
1707981044.0,20.984635,52.218994
1707981064.0,20.983958,52.219814
1707981084.0,20.983409,52.219265
1707981104.0,20.982931,52.21864
1707981124.0,20.981848,52.217309
1707981144.0,20.981006,52.216299
1707981164.0,20.980166,52.21508
1707981184.0,20.980029,52.214795
1707981204.0,20.978558,52.213149
1707981225.0,20.977136,52.211528
1707981245.0,20.977041,52.211388
1707981265.0,20.977041,52.211388
1707981285.0,20.977041,52.211388
1707981305.0,20.976746,52.211113
1707981365.0,20.974871,52.211694
1707981385.0,20.97314,52.212355
1707981425.0,20.97313,52.212393
1707981445.0,20.970669,52.21316
1707981465.0,20.968961,52.213818
1707981485.0,20.96865,52.213953
1707981505.0,20.9677,52.214289
1707981524.0,20.967044,52.214538
1707981565.0,20.961613,52.216203
1707981585.0,20.959714,52.216205
1707981605.0,20.959338,52.216054
1707981625.0,20.957786,52.215434
1707981645.0,20.954726,52.213695
1707981685.0,20.951836,52.211849
1707981705.0,20.95082,52.211118
1707981725.0,20.94957,52.210354
1707981745.0,20.948351,52.209528
1707981765.0,20.947659,52.209065
1707981785.0,20.944856,52.207116
1707981805.0,20.942949,52.205896
1707981825.0,20.942505,52.205576
1707981845.0,20.940539,52.204248
1707981865.0,20.937975,52.202578
1707981885.0,20.936333,52.201495
1707981905.0,20.934881,52.201578
1707981925.0,20.934231,52.20177
1707981945.0,20.931193,52.202419
1707981965.0,20.928746,52.202988
1707982025.0,20.92472,52.20378
1707982045.0,20.922509,52.204256
1707982065.0,20.920124,52.204709
1707982085.0,20.91741,52.205368
1707982105.0,20.91599,52.205491
1707982125.0,20.915706,52.205305
1707982145.0,20.915531,52.20465
1707982185.0,20.914925,52.202179
1707982205.0,20.914858,52.201808
1707982225.0,20.914758,52.201479
1707982245.0,20.914658,52.201048
1707982265.0,20.914606,52.200716
1707982285.0,20.914496,52.200256
1707982325.0,20.913676,52.199193
1707982345.0,20.913466,52.198921
1707982365.0,20.91251,52.197843
1707982385.0,20.911181,52.196348
1707982405.0,20.910444,52.195418
1707982425.0,20.910444,52.195418
1707982445.0,20.910444,52.195418
1707982465.0,20.909956,52.194643
1707982485.0,20.909206,52.193446
1707982505.0,20.908554,52.192615
1707982525.0,20.908508,52.192553
1707982545.0,20.907554,52.192414
1707982565.0,20.907219,52.192523
1707982585.0,20.905174,52.193134
1707982605.0,20.902903,52.193849
1707982646.0,20.900539,52.194598
1707982666.0,20.89908,52.195171
1707982706.0,20.897874,52.195666
1707982726.0,20.897261,52.19588
1707982746.0,20.897161,52.195946
1707982766.0,20.896538,52.195881
1707982786.0,20.896116,52.194141
1707982806.0,20.895531,52.193444
1707982826.0,20.894961,52.192788
1707982846.0,20.893303,52.191211
1707982866.0,20.892044,52.190703
1707982886.0,20.891138,52.190319
1707982906.0,20.889534,52.189978
1707982926.0,20.889308,52.189948
1707982946.0,20.886908,52.189668
1707982966.0,20.886645,52.189626
1707982986.0,20.884666,52.189419
1707983006.0,20.883008,52.189263
1707983026.0,20.881966,52.189135
1707983046.0,20.878881,52.188963
1707983066.0,20.87638,52.188994
1707983086.0,20.875968,52.188986
1707983106.0,20.875193,52.189211
1707983126.0,20.87453,52.188808
1707983146.0,20.873129,52.187478
1707983166.0,20.871858,52.186006
1707983206.0,20.870596,52.18352
1707983226.0,20.870596,52.183506
1707983246.0,20.870264,52.183194
1707983266.0,20.870338,52.183476
1707983286.0,20.870338,52.183476
1707983306.0,20.870338,52.183476
1707983326.0,20.870338,52.183476
1707983346.0,20.870338,52.183476
1707983366.0,20.870338,52.183476
1707983386.0,20.870339,52.183475
1707983406.0,20.870339,52.183475
1707983426.0,20.870339,52.183475
1707983446.0,20.870339,52.183475
1707983486.0,20.870339,52.183475
1707983506.0,20.870341,52.183476
1707983526.0,20.870341,52.183476
1707983546.0,20.870341,52.183476
1707983566.0,20.870341,52.183476
1707983586.0,20.870341,52.183476
1707983606.0,20.870341,52.183476
1707983626.0,20.870336,52.183473
1707983646.0,20.870336,52.183473
1707983667.0,20.870336,52.183473
1707983687.0,20.870336,52.183473
1707983707.0,20.870336,52.183473
1707983727.0,20.870336,52.183473
1707983747.0,20.870333,52.183473
1707983767.0,20.870333,52.183473
1707983787.0,20.870333,52.183473
1707983807.0,20.870333,52.183473
1707983827.0,20.870333,52.183473
1707983847.0,20.870333,52.183473
1707983867.0,20.870329,52.183469
1707983887.0,20.870329,52.183469
1707983907.0,20.870438,52.184134
1707983927.0,20.871674,52.185848
1707983947.0,20.873013,52.187485
1707983987.0,20.876356,52.188966
1707984007.0,20.877159,52.188961
1707984047.0,20.881985,52.189211
1707984067.0,20.883518,52.189371
1707984087.0,20.884296,52.189456
1707984107.0,20.884775,52.189498
1707984127.0,20.887476,52.189774
1707984147.0,20.889856,52.190146
1707984167.0,20.889976,52.190196
1707984187.0,20.892081,52.190775
1707984207.0,20.893758,52.191806
