Time,Lon,Lat
1707980647.0,21.2307951,52.2164925
1707980658.0,21.23132,52.2164771
1707980669.0,21.2327251,52.2163978
1707980679.0,21.234052,52.2163336
1707980711.0,21.23568,52.2163248
1707980722.0,21.23699,52.2162443
1707980733.0,21.2381546,52.2161911
1707980743.0,21.2383583,52.2162578
1707980754.0,21.2388833,52.2162408
1707980765.0,21.2392476,52.216078
1707980775.0,21.2400023,52.2161443
1707980786.0,21.2414251,52.2163816
1707980798.0,21.242469,52.2169566
1707980807.0,21.2428083,52.2172501
1707980818.0,21.242967,52.2177561
1707980828.0,21.2429798,52.2177805
1707980839.0,21.2429466,52.218034
1707980850.0,21.2430235,52.2189208
1707980872.0,21.2431578,52.220666
1707980914.0,21.2433671,52.222118
1707980925.0,21.2433361,52.2223175
1707980935.0,21.2432948,52.2223881
1707980946.0,21.2432913,52.2223948
1707980957.0,21.243277,52.2224105
1707980978.0,21.2432323,52.2231336
1707980989.0,21.2432441,52.2239071
1707980999.0,21.2432643,52.2245921
1707981010.0,21.2433236,52.2248551
1707981021.0,21.2433496,52.2248936
1707981031.0,21.2433641,52.225191
1707981042.0,21.2438218,52.2261403
1707981053.0,21.2447886,52.2270111
1707981074.0,21.2472913,52.22914
1707981096.0,21.2500521,52.2315085
1707981106.0,21.2509668,52.2322171
1707981117.0,21.2510811,52.2322846
1707981127.0,21.2511033,52.2322896
1707981148.0,21.2519941,52.2331051
1707981159.0,21.2531448,52.2340966
1707981170.0,21.2543933,52.2351625
1707981191.0,21.256185,52.2370045
1707981202.0,21.2569918,52.2378748
1707981223.0,21.2572406,52.2381621
1707981234.0,21.2578996,52.2388951
1707981255.0,21.2598011,52.2410288
1707981266.0,21.2608743,52.2421895
1707981287.0,21.262791,52.2441701
1707981298.0,21.2629303,52.2443038
1707981319.0,21.263617,52.2452023
1707981340.0,21.265506,52.2469708
1707981362.0,21.2652811,52.2474643
1707981373.0,21.2650778,52.2475185
1707981383.0,21.2640548,52.2477365
1707981394.0,21.2624283,52.2480608
1707981405.0,21.2605528,52.2483026
1707981415.0,21.2585268,52.2485181
1707981426.0,21.256564,52.2487456
1707981447.0,21.2529141,52.249052
1707981469.0,21.249162,52.2492571
1707981479.0,21.2472328,52.2493763
1707981490.0,21.2453013,52.249485
1707981522.0,21.2429033,52.2495963
1707981543.0,21.2405441,52.2496991
1707981565.0,21.2383845,52.2498053
1707981586.0,21.2380358,52.249802
1707981597.0,21.2368926,52.2498608
1707981607.0,21.2352776,52.249943
1707981618.0,21.234298,52.2499681
1707981639.0,21.2321053,52.2500821
1707981661.0,21.231882,52.2501048
1707981671.0,21.2307126,52.2501711
1707981682.0,21.2291581,52.250213
1707981692.0,21.2277255,52.2502978
1707981703.0,21.2260796,52.2503843
1707981714.0,21.2249505,52.2503966
1707981725.0,21.2248551,52.2504221
1707981746.0,21.2244231,52.250478
1707981756.0,21.2244013,52.2505075
1707981767.0,21.2239506,52.2505105
1707981778.0,21.223952,52.2505018
1707981788.0,21.2239448,52.2504645
1707981799.0,21.2239405,52.2504553
1707981820.0,21.2236293,52.2501906
1707981831.0,21.2235301,52.249184
1707981863.0,21.2227745,52.2462545
1707981874.0,21.2223371,52.2462668
1707981895.0,21.2213815,52.2462678
1707981906.0,21.2192785,52.246391
1707981917.0,21.2170843,52.2464916
1707981927.0,21.214721,52.2466206
1707981938.0,21.2135615,52.2466728
1707981948.0,21.2135435,52.2466671
1707981959.0,21.2134266,52.2466658
1707982023.0,21.200393,52.2476528
1707982034.0,21.1998031,52.2476843
1707982045.0,21.1994621,52.247661
1707982057.0,21.1978548,52.2477801
1707982066.0,21.1956021,52.2479695
1707982077.0,21.1937131,52.2480665
1707982088.0,21.1918021,52.2477266
1707982098.0,21.189942,52.2473576
1707982108.0,21.1888528,52.247171
1707982119.0,21.188039,52.2470025
1707982130.0,21.1875675,52.246934
1707982141.0,21.1875378,52.246897
1707982151.0,21.1871331,52.246795
1707982194.0,21.1797198,52.245484
1707982204.0,21.1783136,52.2453336
1707982215.0,21.1782395,52.2453051
1707982226.0,21.1778733,52.2452266
1707982236.0,21.1768145,52.245121
1707982258.0,21.1749898,52.2441911
1707982269.0,21.1735068,52.2434218
1707982280.0,21.171378,52.2429553
1707982290.0,21.1689648,52.2425078
