Time,Lon,Lat
1707980649.0,20.972267,52.320827
1707980659.0,20.971939,52.321098
1707980674.0,20.970779,52.32061
1707980685.0,20.970667,52.320538
1707980707.0,20.970081,52.320202
1707980723.0,20.967421,52.319252
1707980733.0,20.966284,52.31884
1707980746.0,20.966164,52.318836
1707980755.0,20.965906,52.318642
1707980765.0,20.964674,52.318176
1707980775.0,20.964451,52.318089
1707980786.0,20.964449,52.318081
1707980801.0,20.963318,52.317669
1707980811.0,20.962074,52.317207
1707980822.0,20.961714,52.31707
1707980836.0,20.961668,52.317051
1707980846.0,20.961176,52.316879
1707980855.0,20.961166,52.316875
1707980876.0,20.96118,52.316883
1707980916.0,20.961178,52.316891
1707980928.0,20.961168,52.316883
1707980938.0,20.960821,52.316547
1707980947.0,20.961071,52.316277
1707980962.0,20.961304,52.316093
1707980981.0,20.962055,52.315254
1707980991.0,20.962057,52.315258
1707981006.0,20.962053,52.315269
1707981015.0,20.962065,52.315262
1707981025.0,20.962137,52.314919
1707981037.0,20.961357,52.314659
1707981050.0,20.961351,52.314644
1707981060.0,20.960588,52.31435
1707981070.0,20.959173,52.31385
1707981097.0,20.957737,52.313099
1707981108.0,20.957485,52.313057
1707981122.0,20.956957,52.313515
1707981132.0,20.956955,52.313507
1707981155.0,20.955206,52.314766
1707981165.0,20.953781,52.315807
1707981176.0,20.952065,52.316578
1707981195.0,20.951218,52.316814
1707981206.0,20.951218,52.316814
1707981231.0,20.951635,52.31802
1707981240.0,20.952137,52.318405
1707981252.0,20.952278,52.318451
1707981263.0,20.952562,52.31839
1707981272.0,20.953453,52.31797
1707981288.0,20.952969,52.317394
1707981298.0,20.952766,52.317226
1707981318.0,20.952772,52.317207
1707981339.0,20.952673,52.317104
1707981366.0,20.95241,52.31638
1707981375.0,20.952528,52.316345
1707981385.0,20.953207,52.316116
1707981396.0,20.954523,52.315228
1707981406.0,20.95577,52.314301
1707981411.0,20.956345,52.313881
1707981421.0,20.957153,52.313305
1707981431.0,20.957716,52.313095
1707981452.0,20.958424,52.313503
1707981467.0,20.960218,52.314236
1707981477.0,20.961431,52.314636
1707981487.0,20.962296,52.314926
1707981497.0,20.962164,52.315289
1707981520.0,20.961922,52.315563
1707981530.0,20.961382,52.316174
1707981540.0,20.961252,52.316315
1707981565.0,20.961256,52.316315
1707981590.0,20.961351,52.316929
1707981605.0,20.961914,52.31712
1707981614.0,20.961935,52.317131
1707981624.0,20.962751,52.317463
1707981638.0,20.964954,52.318253
1707981653.0,20.967333,52.319157
1707981672.0,20.968412,52.319481
1707981682.0,20.968647,52.319592
1707981692.0,20.969751,52.319984
1707981702.0,20.970671,52.320427
1707981717.0,20.971569,52.320858
1707981727.0,20.971996,52.320778
1707981750.0,20.972067,52.320694
1707981764.0,20.972187,52.320538
1707981771.0,20.972248,52.320457
1707981782.0,20.972649,52.319904
1707981798.0,20.972649,52.319904
1707981809.0,20.972992,52.319462
1707981821.0,20.973957,52.318111
1707981831.0,20.974693,52.316795
1707981862.0,20.97501,52.316154
1707981875.0,20.975521,52.31559
1707981898.0,20.975578,52.315521
1707981908.0,20.975803,52.315266
1707981918.0,20.976297,52.314602
1707981935.0,20.976643,52.314217
1707981946.0,20.977171,52.313469
1707981953.0,20.977653,52.312778
1707981968.0,20.977674,52.312748
1707982024.0,20.979391,52.310871
1707982034.0,20.980331,52.31015
1707982044.0,20.981157,52.309498
1707982061.0,20.981157,52.309498
1707982071.0,20.98139,52.309303
1707982083.0,20.981493,52.309219
1707982087.0,20.981554,52.309174
1707982105.0,20.981554,52.309174
1707982116.0,20.981554,52.309174
1707982126.0,20.981554,52.309174
1707982138.0,20.981991,52.30883
1707982148.0,20.982147,52.308708
1707982159.0,20.982147,52.308708
1707982191.0,20.982496,52.308434
1707982202.0,20.982496,52.308434
1707982216.0,20.983007,52.308029
1707982227.0,20.983509,52.307869
1707982239.0,20.98374,52.307964
1707982260.0,20.984636,52.308243
1707982275.0,20.984871,52.308372
1707982285.0,20.98608,52.308746
1707982295.0,20.987682,52.309254
1707982327.0,20.98991,52.309975
1707982347.0,20.99197,52.310581
1707982362.0,20.993465,52.311016
1707982372.0,20.994539,52.311302
1707982382.0,20.995827,52.3116
1707982392.0,20.997292,52.31192
1707982402.0,20.998894,52.312321
1707982426.0,20.999998,52.312733
1707982446.0,21.00194,52.31356
1707982463.0,21.00194,52.31356
1707982484.0,21.00202,52.314171
1707982494.0,21.000427,52.316212
1707982507.0,21.000444,52.316223
1707982514.0,21.000309,52.31638
1707982529.0,20.999363,52.317566
1707982543.0,20.998745,52.318363
1707982554.0,20.998741,52.318371
1707982564.0,20.998402,52.318783
1707982587.0,20.997225,52.319744
1707982602.0,20.997252,52.319767
1707982613.0,20.997259,52.319767
1707982623.0,20.997271,52.319759
1707982648.0,20.997284,52.319744
1707982658.0,20.997288,52.31974
1707982668.0,20.997293,52.319744
1707982704.0,20.997246,52.319199
1707982719.0,20.997931,52.318367
1707982729.0,20.998615,52.317383
1707982739.0,20.999025,52.316814
1707982750.0,20.999063,52.316761
1707982765.0,20.999594,52.316071
1707982775.0,20.999748,52.315861
1707982797.0,21.00032,52.315239
1707982818.0,21.001486,52.313747
1707982841.0,21.001932,52.313221
1707982851.0,21.002747,52.312214
1707982876.0,21.004822,52.309532
1707982896.0,21.006355,52.307522
1707982911.0,21.006912,52.306732
1707982922.0,21.006908,52.306713
1707982945.0,21.008148,52.305103
1707982955.0,21.009001,52.304054
1707982964.0,21.009325,52.303547
1707982976.0,21.009377,52.303497
1707983000.0,21.009417,52.30344
1707983011.0,21.009644,52.303425
1707983036.0,21.012098,52.30415
1707983046.0,21.013142,52.304447
1707983056.0,21.013611,52.304581
1707983070.0,21.013744,52.304619
1707983083.0,21.01376,52.304619
1707983093.0,21.014038,52.304699
1707983105.0,21.014076,52.30471
1707983112.0,21.014088,52.30471
1707983127.0,21.014746,52.304897
1707983148.0,21.015541,52.30513
1707983162.0,21.015537,52.305126
1707983172.0,21.016193,52.305309
1707983181.0,21.016758,52.305473
1707983221.0,21.016859,52.305511
1707983241.0,21.016872,52.305515
1707983256.0,21.01687,52.305519
1707983264.0,21.01712,52.305592
1707983273.0,21.017778,52.305767
1707983303.0,21.017778,52.305767
1707983313.0,21.017778,52.305767
1707983324.0,21.017778,52.305767
1707983335.0,21.017778,52.305767
1707983346.0,21.017645,52.306252
1707983355.0,21.015402,52.309269
1707983365.0,21.015291,52.309429
1707983375.0,21.01527,52.309776
1707983399.0,21.015955,52.309921
1707983408.0,21.016224,52.310032
1707983423.0,21.01828,52.310627
1707983433.0,21.020014,52.311127
1707983443.0,21.021864,52.311672
1707983455.0,21.022738,52.311897
1707983467.0,21.022755,52.311901
1707983487.0,21.025227,52.312202
1707983502.0,21.025946,52.312256
1707983512.0,21.029247,52.312466
1707983524.0,21.029247,52.312466
1707983535.0,21.029963,52.312851
1707983540.0,21.02994,52.313248
1707983557.0,21.02994,52.313248
1707983578.0,21.02986,52.315372
1707983589.0,21.029772,52.315571
1707983599.0,21.029644,52.316299
1707983609.0,21.029505,52.317074
1707983634.0,21.032103,52.317955
1707983644.0,21.032488,52.318485
1707983654.0,21.032513,52.319592
1707983674.0,21.03249,52.322475
1707983689.0,21.03215,52.324532
1707983699.0,21.031893,52.325527
1707983723.0,21.032223,52.326069
1707983736.0,21.032578,52.326103
1707983756.0,21.03635,52.326282
1707983766.0,21.038111,52.326389
1707983781.0,21.040401,52.326511
1707983791.0,21.041424,52.32655
1707983800.0,21.041525,52.326553
1707983805.0,21.04184,52.326603
1707983815.0,21.042261,52.326153
1707983825.0,21.043034,52.325943
1707983836.0,21.044493,52.326019
1707983846.0,21.045715,52.326138
1707983861.0,21.047632,52.326271
1707983871.0,21.047672,52.326275
1707983893.0,21.048315,52.32629
1707983917.0,21.048353,52.326763
1707983928.0,21.048296,52.326797
1707983939.0,21.048189,52.327145
1707983959.0,21.047554,52.329399
1707983986.0,21.047192,52.331764
1707984010.0,21.04727,52.33297
1707984020.0,21.047277,52.334133
1707984045.0,21.046898,52.336723
1707984055.0,21.04697,52.337696
1707984067.0,21.047161,52.338074
1707984089.0,21.047371,52.338547
1707984115.0,21.047348,52.340725
1707984125.0,21.046963,52.341782
1707984134.0,21.046494,52.342724
1707984145.0,21.045971,52.343716
1707984156.0,21.045858,52.343887
1707984171.0,21.045282,52.344643
1707984181.0,21.04472,52.345486
1707984191.0,21.043612,52.345879
1707984216.0,21.043842,52.346966
1707984226.0,21.044802,52.347061
