Time,Lon,Lat
1707980635.0,21.041874,52.300213
1707980665.0,21.041901,52.300194
1707980696.0,21.041895,52.30019
1707980726.0,21.041922,52.300201
1707980755.0,21.041929,52.300198
1707980786.0,21.041908,52.300186
1707980816.0,21.041916,52.300198
1707980846.0,21.04191,52.300201
1707980875.0,21.041916,52.300201
1707980906.0,21.041426,52.299881
1707980936.0,21.04245,52.299759
1707980965.0,21.042597,52.299156
1707980996.0,21.042608,52.298882
1707981026.0,21.042458,52.297428
1707981056.0,21.042221,52.295429
1707981086.0,21.04212,52.294598
1707981116.0,21.041588,52.292503
1707981146.0,21.041483,52.291824
1707981176.0,21.040834,52.288906
1707981206.0,21.039742,52.288147
1707981236.0,21.037327,52.288292
1707981266.0,21.034985,52.288532
1707981296.0,21.032085,52.288666
1707981326.0,21.031109,52.28846
1707981356.0,21.029936,52.288177
1707981386.0,21.02927,52.287956
1707981416.0,21.0268,52.287266
1707981446.0,21.023109,52.286243
1707981476.0,21.022694,52.286133
1707981506.0,21.022678,52.286133
1707981536.0,21.021875,52.286633
1707981566.0,21.021217,52.287514
1707981596.0,21.019737,52.289597
1707981656.0,21.018177,52.291882
1707981687.0,21.017254,52.293339
1707981717.0,21.01495,52.295963
1707981747.0,21.013882,52.295483
1707981777.0,21.01359,52.295116
1707981807.0,21.013382,52.294846
1707981837.0,21.013203,52.294628
1707981867.0,21.012928,52.294296
1707981897.0,21.012613,52.293972
1707981927.0,21.011347,52.293404
1707981957.0,21.010359,52.293091
1707982017.0,21.004721,52.291252
1707982047.0,21.002892,52.290714
1707982077.0,21.001112,52.29007
1707982107.0,20.999279,52.289272
1707982137.0,20.995148,52.287418
1707982167.0,20.992897,52.286385
1707982197.0,20.991985,52.285969
1707982227.0,20.99115,52.285595
1707982257.0,20.989363,52.284763
1707982287.0,20.986671,52.282894
1707982347.0,20.994215,52.276405
1707982437.0,20.990652,52.270203
1707982468.0,20.988892,52.269634
1707982497.0,20.98737,52.269192
1707982527.0,20.987375,52.269165
1707982558.0,20.986635,52.269249
1707982587.0,20.98485,52.26857
1707982617.0,20.984144,52.268391
1707982647.0,20.982916,52.268082
1707982677.0,20.981146,52.267616
1707982707.0,20.979048,52.267048
1707982738.0,20.975754,52.266193
1707982768.0,20.974947,52.26577
1707982798.0,20.97303,52.265156
1707982828.0,20.972946,52.265095
1707982857.0,20.970741,52.264713
1707982888.0,20.969433,52.265102
1707982917.0,20.965647,52.266136
1707982948.0,20.962645,52.266994
1707982978.0,20.961578,52.267338
1707983008.0,20.960321,52.267719
1707983038.0,20.960331,52.267719
1707983068.0,20.958311,52.268276
1707983098.0,20.95541,52.268967
1707983128.0,20.951078,52.27021
1707983158.0,20.950394,52.270382
1707983218.0,20.945848,52.271664
1707983248.0,20.945507,52.271698
1707983278.0,20.943481,52.272278
1707983308.0,20.939447,52.274719
1707983338.0,20.938854,52.275181
1707983368.0,20.937628,52.275009
1707983398.0,20.936441,52.274136
1707983428.0,20.934065,52.271812
1707983458.0,20.93392,52.27153
1707983488.0,20.933893,52.271523
1707983519.0,20.933836,52.271412
1707983548.0,20.932941,52.271149
1707983579.0,20.929974,52.271027
1707983609.0,20.928013,52.271648
1707983639.0,20.924763,52.273338
1707983669.0,20.923923,52.273926
1707983699.0,20.923264,52.276028
1707983729.0,20.923237,52.276546
1707983759.0,20.923098,52.278408
1707983789.0,20.923374,52.280304
1707983819.0,20.923813,52.280777
1707983849.0,20.925335,52.282036
1707983879.0,20.926674,52.283192
1707983909.0,20.929211,52.285233
1707983939.0,20.930546,52.286335
1707983969.0,20.933064,52.288433
1707983999.0,20.932581,52.289791
1707984029.0,20.930946,52.290535
1707984059.0,20.930548,52.290718
1707984089.0,20.930822,52.2915
1707984119.0,20.931051,52.292027
1707984149.0,20.932821,52.29488
1707984179.0,20.934792,52.29789
1707984209.0,20.935575,52.298702
